,text
0,"Не могу напиться с неприятными людьми. Сколько ни пью - не напиваюсь. Они уже напились - а я никак. И чем больше пью, тем больше их понимаю. И чем больше понимаю, тем противней. Никогда не пейте с неприятными людьми. "
1,"За что ты полюбил меня, Маттео?Сначала я увидел вас на балконе. У вас был сонный вид, как будто вам все постыло. К этому времени как раз и мне все постыло. "
2,"Так и будешь таращиться? У тебя должны быть очи, подобные сияющим звездам! "
3,"Распоряжение Сталина: ""Картин должно быть мало, но только хорошие"". И картин стало мало, но только плохие. "
4,"Человек рождается жить, а не готовиться к жизни. "
5,"Девушка была неуемная, но предусмотрительная и хорошо знала, что можно, а чего нельзя. Тогда все девушки берегли свою девичью честь. Некоторые доберегли до конца. "
6,"С какой стати я обязан быть на него похожим! С меня достаточно, что я похож на самого себя. "
7,"До свидания, милый. Можно, я тебя поцелую? Маттео. Это лишнее. Пока. Никогда не давайте поцелуя без любви. А ведь вы меня еще не могли полюбить. "
8,"Зачем вы оправдываетесь? Я же не спрашиваю, кто к вам должен прийти. Поклонники, начинающие с того, что ревнуют, либо смешны, либо самоуверенны. "
9,"Но главное, чего я хочу — это служить вам. Для вас душа моя — воск, на котором вы можете запечатлеть все, что вам угодно. "
10,"Любопытно было бы услышать, с какими дамами еще был знаком ваш господин.Еще в него была влюблена девица Альтидисора. Тоже принцесса? Это была горничная, но ей едва стукнуло пятнадцать лет. Самая здоровая девушка во всем замке. Но при виде Дон Кихота ей сразу становилось дурно, и подругам…"
11,"Когда Марлен Дитрих, звезду мирового экрана, спросили: - Как вам удается не стареть? Она ответила: - Я хорошо сплю и никому не завидую. "
12,"Грех не случается, а совершается. В результате всего предыдущего, всей жизни твоей. "
13,У каждого есть право на собственное несчастье. 
14,"Как тебе тут живется? Сижу в трактире, как приманка для дроздов. Посетителям разрешается смотреть, как я перекладываю пищу из горшков в желудок. А тебе как тут живется? Просеиваю знатных сеньоров для будущей совместной жизни. "
15,Не является ли мое стремление к праведности лишь гордыней? 
16,Но он и слова мне не сказал! Потому что его чувство всегда было возвышенным и далее почтительных взглядов дело не заходило. 
17,"Иногда он забредал в наше Тобосо и тут влюбился в тебя за твою миловидность. Я не обращала на него никакого внимания. Ты не обращала на него внимания, но ты показалась ему достойной быть владычицей его помыслов. "
18,"Почему же, твой Дон-Кихот и на этот раз не пришел ко мне, когда я сама его позвала? Да потому, что по законам рыцарства, он сначала должен был выполнить свое обещание и спасти принцессу от великанов! А потом уж думать об удовольствиях! "
19,"Так что он там — женился, нет? Как же он мог жениться, если владычицей его души была Дульсинея! "
20,"Владычицей его души была несравненная Дульсинея. Но она как бы была, но в тоже время ее как бы и не было! Но он был верен ей и отвергал королев, императриц и всякого рода дам. Жених. Значит она как бы и была? Как бы и была. "
21,"Смиренный со смиренными, гордый с надменными, он смотрел опасности прямо в глаза. Он не унывал в бедах. Он был влюблен ни в кого. Мать. Вы изволили сказать, что он не был влюблен ни в кого? Он был влюблен ни в кого. Отец (Жениху). Понял? Жених. Не понял. Мать. Если можно, скажите еще раз, Санчо,…"
